67;0;65;21;208;3;9;0;1432247719
67;0;65;21;208;3;9;0;1432248672
67;0;68;18;208;3;9;0;1432249425
67;0;71;16;208;3;9;0;1432250027
66;0;70;16;208;3;9;0;1432250717
68;0;71;16;211;3;10;0;1432263022
68;0;72;16;214;4;10;0;1432327402
71;0;75;18;233;5;11;0;1432783281
76;0;79;21;263;6;10;1;1432940768
76;0;83;21;268;6;11;0;1433006732
76;0;83;21;268;6;11;0;1433013874
76;0;83;21;262;6;11;0;1433037968
76;0;83;21;262;6;11;0;1433038073
76;0;83;21;270;7;11;0;1433049423
76;0;83;21;269;7;11;0;1433056162
76;0;84;20;269;7;11;0;1433066129
76;0;86;18;269;7;11;0;1433067416
75;1;100;20;291;7;11;0;1433245933
77;1;99;20;297;7;11;0;1433258043
76;1;100;21;308;7;11;0;1433497404
75;2;100;21;339;7;11;0;1434132082
77;1;101;21;339;7;11;0;1434135602
78;1;103;21;395;7;11;0;1434166521
